Team,Group,Area,Ranking
Qatar,A,Host,50
Ecuador,A,SouthAmerica,44
Senegal,A,Africa,18
Netherlands,A,Europe,8
England,B,Europe,5
Iran,B,Asia,20
USA,B,Caribbean,16
Wales,B,Europe,19
Argentina,C,SouthAmerica,3
SaudiArabia,C,Asia,51
Mexico,C,Caribbean,13
Poland,C,Europe,26
France,D,Europe,4
Australia,D,Asia,38
Denmark,D,Europe,10
Tunisia,D,Africa,30
Spain,E,Spain,7
CostaRica,E,Caribbean,31
Germany,E,Europe,11
Japan,E,Asia,24
Belgium,F,Europe,2
Canada,F,Caribbean,41
Morocco,F,Africa,22
Croatia,F,Europe,12
Brazil,G,SouthAmerica,1
Serbia,G,Europe,21
Switzerland,G,Europe,15
Cameroon,G,Africa,43
Portugal,H,European,9
Ghana,H,Africa,61
Uruguay,H,SouthAmerica,14
Korea,H,Asia,28
